account_authenticity,bidding_score,transaction_score,fraud_reports,risk_level
1.0,0.85,0.75,0,Low
1.0,0.9,0.85,0,Low
0.9,0.7,0.6,0,Low
1.0,0.65,0.7,0,Low
1.0,0.5,0.85,0,Low
0.95,0.7,0.8,0,Low
1.0,0.8,0.6,0,Low
0.9,0.6,0.75,0,Low
1.0,0.75,0.8,0,Low
0.8,0.5,0.7,0,Medium
0.9,0.6,0.65,0,Medium
1.0,0.6,0.7,0,Medium
0.85,0.55,0.6,0,Medium
0.7,0.4,0.5,0,Medium
0.6,0.5,0.6,0,Medium
0.7,0.6,0.7,0,Medium
0.5,0.4,0.5,1,High
0.3,0.2,0.3,1,High
0.4,0.3,0.35,1,High
0.2,0.1,0.2,1,High
0.3,0.2,0.15,1,High
0.25,0.15,0.2,1,High
0.1,0.2,0.25,1,High
0.2,0.1,0.2,1,High
0.4,0.3,0.25,1,High
0.5,0.4,0.3,1,High
1.0,0.9,0.8,0,Low
0.95,0.85,0.75,0,Low
0.9,0.7,0.7,0,Low
0.85,0.65,0.6,0,Medium
0.8,0.6,0.55,0,Medium
0.75,0.55,0.5,0,Medium
0.7,0.5,0.45,0,Medium
0.65,0.45,0.4,0,Medium
0.6,0.4,0.35,1,High
0.55,0.35,0.3,1,High
0.5,0.3,0.25,1,High
0.45,0.25,0.2,1,High
0.4,0.2,0.15,1,High
0.35,0.15,0.1,1,High
0.3,0.1,0.05,1,High
0.25,0.05,0.0,1,High
1.0,0.95,0.9,0,Low
0.98,0.92,0.88,0,Low
0.96,0.9,0.85,0,Low
0.94,0.85,0.8,0,Medium
0.9,0.8,0.75,0,Medium
0.85,0.75,0.7,0,Medium
0.8,0.7,0.65,1,Medium
0.75,0.65,0.6,1,High
0.7,0.6,0.55,1,High
0.65,0.55,0.5,1,High
0.6,0.5,0.45,1,High
0.55,0.45,0.4,2,High
0.5,0.4,0.35,2,High
0.45,0.35,0.3,3,High
0.4,0.3,0.25,3,High
0.35,0.25,0.2,4,High
0.9,0.88,0.82,0,Medium
0.88,0.86,0.8,0,Medium
0.85,0.83,0.78,1,Medium
0.83,0.8,0.75,1,Medium
0.8,0.78,0.7,1,High
0.78,0.75,0.68,2,High
0.75,0.72,0.65,2,High
0.7,0.68,0.6,3,High
0.65,0.62,0.55,3,High
0.6,0.58,0.5,4,High
0.55,0.53,0.45,4,High
0.5,0.48,0.4,5,High
0.95,0.9,0.88,0,Low
0.92,0.89,0.85,0,Low
0.9,0.87,0.83,0,Low
